,Unnamed: 0,Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Home Team Initials,Away Team Initials,Date,month,year,time,Home_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Scored,Home_Team_Win_Rate,Away_Team_Win_Rate,Head_to_Head_Wins,Is_Home_Advantage,Result
251,251,1974.0,Group 1,Volksparkstadion,Hamburg ,German DR,1.0,0.0,Germany FR,60200.0,GDR,FRG,22.0,6.0,1974.0,19:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
726,726,2010.0,Group B,Free State Stadium,Mangaung/Bloemfontein ,Greece,2.0,1.0,Nigeria,31593.0,GRE,NGA,17.0,6.0,2010.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
461,461,1990.0,Semi-finals,Stadio delle Alpi,Turin ,Germany FR,1.0,1.0,England,62628.0,FRG,ENG,4.0,7.0,1990.0,20:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
455,455,1990.0,Round of 16,Renato Dall Ara,Bologna ,England,1.0,0.0,Belgium,34520.0,ENG,BEL,26.0,6.0,1990.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
849,849,2014.0,Semi-finals,Arena de Sao Paulo,Sao Paulo ,Netherlands,0.0,0.0,Argentina,63267.0,NED,ARG,9.0,7.0,2014.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
269,269,1974.0,Final,Olympiastadion,Munich ,Netherlands,1.0,2.0,Germany FR,78200.0,NED,FRG,7.0,7.0,1974.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
201,201,1970.0,Group 2,Cuauhtemoc,Puebla ,Uruguay,2.0,0.0,Israel,20654.0,URU,ISR,2.0,6.0,1970.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
161,161,1962.0,Quarter-finals,Estadio Sausalito,Vina Del Mar ,Brazil,3.0,1.0,England,17736.0,BRA,ENG,10.0,6.0,1962.0,14:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
555,555,1998.0,Group D,Stade Municipal,Toulouse ,Nigeria,1.0,3.0,Paraguay,33500.0,NGA,PAR,24.0,6.0,1998.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
729,729,2010.0,Group C,Ellis Park Stadium,Johannesburg ,Slovenia,2.0,2.0,USA,45573.0,SVN,USA,18.0,6.0,2010.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
401,401,1986.0,Round of 16,Estadio Universitario,Monterrey ,Morocco,0.0,1.0,Germany FR,19800.0,MAR,FRG,17.0,6.0,1986.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
702,702,2006.0,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,England,0.0,0.0,Portugal,52000.0,ENG,POR,1.0,7.0,2006.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
476,476,1994.0,Group C,Soldier Field,Chicago ,Germany,1.0,1.0,Spain,63113.0,GER,ESP,21.0,6.0,1994.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
771,771,2010.0,Final,Soccer City Stadium,Johannesburg ,Netherlands,0.0,1.0,Spain,84490.0,NED,ESP,11.0,7.0,2010.0,20:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
105,105,1958.0,Group 2,Idrottsparken,Norrk�Ping ,France,,3.0,Paraguay,16518.0,FRA,PAR,8.0,6.0,1958.0,19:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
565,565,1998.0,Round of 16,Parc des Princes,Paris ,Brazil,,1.0,Chile,45500.0,BRA,CHI,27.0,6.0,1998.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
389,389,1986.0,Group B,Estadio Azteca,Mexico City ,Iraq,0.0,1.0,Mexico,103763.0,IRQ,MEX,11.0,6.0,1986.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
1,1,1930.0,Group 4,Parque Central,Montevideo ,USA,3.0,0.0,Belgium,18346.0,USA,BEL,13.0,7.0,1930.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
797,797,2014.0,Group E,Arena da Baixada,Curitiba ,Honduras,1.0,2.0,Ecuador,39224.0,HON,ECU,20.0,6.0,2014.0,19:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
561,561,1998.0,Group H,Stade du Parc Lescure,Bordeaux ,Argentina,1.0,0.0,Croatia,31800.0,ARG,CRO,26.0,6.0,1998.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
80,80,1954.0,Group 2,Hardturm,Zurich ,Hungary,,0.0,Korea Republic,13000.0,HUN,KOR,17.0,6.0,1954.0,18:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
205,205,1970.0,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany FR,2.0,1.0,Morocco,12942.0,FRG,MAR,3.0,6.0,1970.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
34,34,1934.0,Final,Nazionale PNF,Rome ,Italy,2.0,1.0,Czechoslovakia,55000.0,ITA,TCH,10.0,6.0,1934.0,17:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
775,775,2014.0,Group B,Arena Pantanal,Cuiaba ,Chile,3.0,1.0,Australia,40275.0,CHI,AUS,13.0,6.0,2014.0,18:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
508,508,1994.0,Quarter-finals,Foxboro Stadium,Boston ,Italy,2.0,1.0,Spain,53400.0,ITA,ESP,9.0,7.0,1994.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
427,427,1990.0,Group A,Stadio Olimpico,Rome ,Italy,1.0,0.0,USA,73423.0,ITA,USA,14.0,6.0,1990.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
